"","Ship_Info","Latitude","Longitude"
"1",1,38.431397,20.602227
"2",2,38.101977,20.4844809
"3",3,38.0286,20.716194
"4",4,38.215688,21.359414
"5",5,38.144537,20.824682
"6",6,38.288449,21.491395
"7",7,38.266873,21.194499
"8",8,38.285326,21.252646
"9",9,38.318487,21.124774
"10",10,38.041556,20.774206
"11",11,38.260593,21.348222
"12",12,37.794649,20.933393
"13",13,38.333463,20.636621
"14",14,38.37625,20.627539
"15",15,38.293242,20.713961
"16",16,38.409516,20.632894
"17",17,38.33902,20.678298
"18",18,38.483735,20.638242
"19",19,38.321032,20.783794
"20",20,38.051527,20.818266
"21",21,38.092777,20.831768
"22",22,38.037369,21.135277
"23",23,37.966702,21.098391
"24",24,37.939612,21.112249
"25",25,37.886346,21.029669
"26",26,38.549514,20.66038
"27",27,38.538508,20.578127
"28",28,38.500273,20.542574
"29",29,38.276436,20.640345
"30",30,38.625082,20.994427
"31",31,38.499016,20.623485
"32",32,38.573659,20.490723
"33",33,38.514125,20.563625
"34",34,38.345493,21.42403
"35",35,38.327659,21.414876
"36",36,38.315777,21.410803
